id,category,name,time_range_id,amplitude_id,position_id,speed_type_id,trend_type_id,extra_info
1,,短期小幅连续上涨,,,,,,
2,,短期小幅连续下跌,,,,,,
3,,短期小幅急速上涨,,,,,,
4,,短期小幅急速下跌,,,,,,
5,,短期小幅震荡上涨,,,,,,
6,,短期小幅震荡下跌,,,,,,
7,,短期中幅连续上涨,,,,,,
8,,短期中幅连续下跌,,,,,,
9,,短期中幅急速上涨,,,,,,
10,,短期中幅急速下跌,,,,,,
11,,短期中幅震荡上涨,,,,,,
12,,短期中幅震荡下跌,,,,,,
13,,短期大幅连续上涨,,,,,,
14,,短期大幅连续下跌,,,,,,
15,,短期大幅急速上涨,,,,,,
16,,短期大幅急速下跌,,,,,,
17,,短期大幅震荡上涨,,,,,,
18,,短期大幅震荡下跌,,,,,,
19,,中期小幅连续上涨,,,,,,
20,,中期小幅连续下跌,,,,,,
21,,中期小幅急速上涨,,,,,,
22,,中期小幅急速下跌,,,,,,
23,,中期小幅震荡上涨,,,,,,
24,,中期小幅震荡下跌,,,,,,
25,,中期中幅连续上涨,,,,,,
26,,中期中幅连续下跌,,,,,,
27,,中期中幅急速上涨,,,,,,
28,,中期中幅急速下跌,,,,,,
29,,中期中幅震荡上涨,,,,,,
30,,中期中幅震荡下跌,,,,,,
31,,中期大幅连续上涨,,,,,,
32,,中期大幅连续下跌,,,,,,
33,,中期大幅急速上涨,,,,,,
34,,中期大幅急速下跌,,,,,,
35,,中期大幅震荡上涨,,,,,,
36,,中期大幅震荡下跌,,,,,,
37,,长期小幅连续上涨,,,,,,
38,,长期小幅连续下跌,,,,,,
39,,长期小幅急速上涨,,,,,,
40,,长期小幅急速下跌,,,,,,
41,,长期小幅震荡上涨,,,,,,
42,,长期小幅震荡下跌,,,,,,
43,,长期中幅连续上涨,,,,,,
44,,长期中幅连续下跌,,,,,,
45,,长期中幅急速上涨,,,,,,
46,,长期中幅急速下跌,,,,,,
47,,长期中幅震荡上涨,,,,,,
48,,长期中幅震荡下跌,,,,,,
49,,长期大幅连续上涨,,,,,,
50,,长期大幅连续下跌,,,,,,
51,,长期大幅急速上涨,,,,,,
52,,长期大幅急速下跌,,,,,,
53,,长期大幅震荡上涨,,,,,,
54,,长期大幅震荡下跌,,,,,,
55,,短期低位小幅震荡,,,,,,
56,,短期低位小幅震荡且顶部下移,,,,,,
57,,短期低位小幅震荡且顶部上移,,,,,,
58,,短期低位小幅震荡且底部下移,,,,,,
59,,短期低位小幅震荡且底部上移,,,,,,
60,,短期低位中幅震荡,,,,,,
61,,短期低位中幅震荡且顶部下移,,,,,,
62,,短期低位中幅震荡且顶部上移,,,,,,
63,,短期低位中幅震荡且底部下移,,,,,,
64,,短期低位中幅震荡且底部上移,,,,,,
65,,短期低位大幅震荡,,,,,,
66,,短期低位大幅震荡且顶部下移,,,,,,
67,,短期低位大幅震荡且顶部上移,,,,,,
